shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
tj shorts,2017-18,UC Davis,BW,jr,G,179,133,0.74301676,UC Davis,UC Davis,tjshorts,Non-Power
zylan cheatham,2018-19,Arizona State,P12,sr,F/C,179,112,0.625698324,Arizona St.,Arizona State,zycheatham,Power
ade murkey,2019-20,Denver,Sum,sr,G,178,130,0.730337079,Denver,Denver,admurkey,Non-Power
anthony lamb,2018-19,Vermont,AE,jr,F/C,178,133,0.747191011,Vermont,Vermont,anlamb,Non-Power
bennedict mathurin,2021-22,Arizona,P12,so,G,178,136,0.764044944,Arizona,Arizona,bemathurin,Power
ian dubose,2019-20,Houston Baptist,Slnd,jr,G,178,138,0.775280899,Houston Christian,Houston Baptist,iadubose,Non-Power
jeff roberson,2017-18,Vanderbilt,SEC,sr,F,178,152,0.853932584,Vanderbilt,Vanderbilt,jeroberson,Power
junior etou,2017-18,Tulsa,Amer,sr,F,178,126,0.707865169,Tulsa,Tulsa,juetou,Non-Power
quinndary weatherspoon,2018-19,Miss St,SEC,sr,G,178,143,0.803370787,Mississippi St.,Mississippi State,quweatherspoon,Power
quinton rose,2019-20,Temple,Amer,sr,F,178,141,0.792134831,Temple,Temple,qurose,Non-Power
tiwian kendley,2017-18,Morgan State,MEAC,sr,G,178,136,0.764044944,Morgan St.,Morgan State,tikendley,Non-Power
troy green,2021-22,New Orleans,Slnd,sr,G,178,148,0.831460674,New Orleans,New Orleans,trgreen,Non-Power
isaiah bailey,2017-18,Bethune-Cookman,MEAC,jr,G,177,139,0.785310734,Bethune Cookman,Bethune-Cookman,isbailey,Non-Power
kaleb wesson,2018-19,Ohio State,B10,so,F/C,177,130,0.734463277,Ohio St.,Ohio State,kawesson,Power
kenneth lofton,2021-22,LA Tech,CUSA,fr,F/C,177,121,0.683615819,Louisiana Tech,Louisiana Tech,kelofton,Non-Power
phil booth,2018-19,Villanova,BE,sr,G,177,134,0.757062147,Villanova,Villanova,phbooth,Power
rj williams,2019-20,Boise State,MWC,sr,F/C,177,115,0.649717514,Boise St.,Boise State,rjwilliams,Non-Power
shawn roundtree,2018-19,Cent Michigan,MAC,sr,G,177,139,0.785310734,Central Michigan,Central Michigan,shroundtree,Non-Power
souley boum,2021-22,UTEP,CUSA,jr,G,177,150,0.847457627,UTEP,UTEP,soboum,Non-Power
taveion hollingsworth,2019-20,W Kentucky,CUSA,jr,G,177,150,0.847457627,Western Kentucky,Western Kentucky,tahollingsworth,Non-Power
brandon anderson,2017-18,Brown,Ivy,so,G,176,151,0.857954545,Brown,Brown,branderson,Non-Power
caleb fields,2019-20,Arkansas State,SB,fr,G,176,123,0.698863636,Arkansas St.,Arkansas St,cafields,Non-Power
daniel gafford,2018-19,Arkansas,SEC,so,F,176,105,0.596590909,Arkansas,Arkansas,dagafford,Power
darrion trammell,2021-22,Seattle,WAC,so,G,176,144,0.818181818,Seattle,Seattle U,datrammell,Non-Power
kamani johnson,2019-20,Little Rock,SB,so,F/C,176,130,0.738636364,Little Rock,Arkansas-Little Rock,kajohnson,Non-Power
mj randolph,2021-22,Florida A&M,SWAC,sr,G,176,120,0.681818182,Florida A&M,Florida A&M,mjrandolph,Non-Power
moses moody,2020-21,Arkansas,SEC,fr,G,176,145,0.823863636,Arkansas,Arkansas,momoody,Power
peter kiss,2021-22,Bryant,NEC,sr,G,176,138,0.784090909,Bryant,Bryant,pekiss,Non-Power
phil fayne,2018-19,Illinois State,MVC,sr,F,176,116,0.659090909,Illinois St.,Illinois State,phfayne,Non-Power
tavian dunn-martin,2021-22,FGCU,ASun,sr,G,176,155,0.880681818,Florida Gulf Coast,Florida Gulf Coast,tadunn,Non-Power
yoeli childs,2017-18,BYU,WCC,so,F/C,176,113,0.642045455,BYU,BYU,yochilds,Non-Power
bryce hamilton,2021-22,UNLV,MWC,sr,G,175,134,0.765714286,UNLV,UNLV,brhamilton,Non-Power
garrison mathews,2018-19,Lipscomb,ASun,sr,G,175,153,0.874285714,Lipscomb,Lipscomb,gamathews,Non-Power
jayquan mccloud,2019-20,Green Bay,Horz,sr,G,175,150,0.857142857,Green Bay,Green Bay,jamccloud,Non-Power
junior robinson,2017-18,Mt St Mary's,NEC,sr,G,175,157,0.897142857,Mount St. Mary's,Mt. St. Mary'S,jurobinson,Non-Power
saeed nelson,2017-18,American,Pat,so,G,175,121,0.691428571,American,American,sanelson,Non-Power
shamorie ponds,2017-18,St John's,BE,so,G,175,150,0.857142857,St. John's,St. John's,shponds,Power
zac cuthbertson,2017-18,C. Carolina,SB,jr,F,175,138,0.788571429,Coastal Carolina,Coastal Carolina,zacuthbertson,Non-Power
caleb martin,2017-18,Nevada,MWC,jr,G,174,129,0.74137931,Nevada,Nevada,camartin,Non-Power
daylen kountz,2021-22,N Colorado,BSky,sr,G,174,144,0.827586207,Northern Colorado,Northern Colorado,dakountz,Non-Power
drew timme,2021-22,Gonzaga,WCC,jr,F/C,174,118,0.67816092,Gonzaga,Gonzaga,drtimme,Non-Power
johnathan williams,2017-18,Gonzaga,WCC,sr,F/C,174,94,0.540229885,Gonzaga,Gonzaga,jowilliams,Non-Power
marlain veal,2018-19,SE Louisiana,Slnd,sr,G,174,143,0.82183908,Southeastern Louisiana,SE Louisiana,maveal,Non-Power
marreon jackson,2019-20,Toledo,MAC,jr,G,174,142,0.816091954,Toledo,Toledo,majackson,Non-Power
matt morgan,2018-19,Cornell,Ivy,sr,G,174,151,0.867816092,Cornell,Cornell,mamorgan,Non-Power
mfiondu kabengele,2018-19,Florida State,ACC,so,F/C,174,133,0.764367816,Florida St.,Florida State,mfkabengele,Power
pj washington,2018-19,Kentucky,SEC,so,F/C,174,116,0.666666667,Kentucky,Kentucky,pjwashington,Power
quintin dove,2019-20,UT Martin,OVC,sr,F/C,174,136,0.781609195,Tennessee Martin,UT Martin,qudove,Non-Power
terry winn,2018-19,UT Rio Grande,WAC,sr,G,174,124,0.712643678,UT Rio Grande Valley,UT Rio Grande Valley,tewinn,Non-Power
zach edey,2021-22,Purdue,B10,so,C,174,113,0.649425287,Purdue,Purdue,zaedey,Power
bogdan bliznyuk,2017-18,E Washington,BSky,sr,G,173,155,0.895953757,Eastern Washington,Eastern Washington,bobliznyuk,Non-Power
christian mekowulu,2017-18,Tennessee St,OVC,jr,F/C,173,127,0.734104046,Tennessee St.,Tennessee State,chmekowulu,Non-Power
harald frey,2019-20,Montana State,BSky,sr,G,173,151,0.87283237,Montana St.,Montana State,hafrey,Non-Power
kevon harris,2018-19,SF Austin,Slnd,jr,G,173,127,0.734104046,Stephen F. Austin,Stephen F. Austin,keharris,Non-Power
mustapha heron,2017-18,Auburn,SEC,so,G,173,139,0.803468208,Auburn,Auburn,muheron,Power
phil fayne,2017-18,Illinois State,MVC,jr,F,173,89,0.514450867,Illinois St.,Illinois State,phfayne,Non-Power
romeo langford,2018-19,Indiana,B10,fr,G,173,126,0.728323699,Indiana,Indiana,rolangford,Power
colton weisbrod,2017-18,Lamar,Slnd,sr,F,172,115,0.668604651,Lamar,Lamar,coweisbrod,Non-Power
donte clark,2017-18,Texas Southern,SWAC,sr,G,172,145,0.843023256,Texas Southern,Texas Southern,doclark,Non-Power
femi olujobi,2018-19,DePaul,BE,sr,F,172,120,0.697674419,DePaul,DePaul,feolujobi,Power
gaige prim,2021-22,Missouri State,MVC,sr,F/C,172,134,0.779069767,Missouri St.,Missouri State,gaprim,Non-Power
gary blackston,2018-19,PV A&M,SWAC,sr,G,172,110,0.639534884,Prairie View A&M,Prairie View A&M,gablackston,Non-Power
khalil small,2017-18,Green Bay,Horz,sr,G,172,143,0.831395349,Green Bay,Green Bay,khsmall,Non-Power
marcquise reed,2018-19,Clemson,ACC,sr,G,172,147,0.854651163,Clemson,Clemson,mareed,Power
quenton jackson,2021-22,Texas A&M,SEC,sr,G,172,143,0.831395349,Texas A&M,Texas A&M,qujackson,Power
rylan bergersen,2019-20,Cent Arkansas,Slnd,jr,G,172,119,0.691860465,Central Arkansas,Central Arkansas,rybergersen,Non-Power
antoine davis,2019-20,Detroit Mercy,Horz,so,G,171,154,0.900584795,Detroit,Detroit Mercy,andavis,Non-Power
breein tyree,2019-20,Ole Miss,SEC,sr,G,171,142,0.830409357,Mississippi,Ole Miss,brtyree,Power
daryl macon,2017-18,Arkansas,SEC,sr,G,171,151,0.883040936,Arkansas,Arkansas,damacon,Power
devon dotson,2019-20,Kansas,B12,so,G,171,142,0.830409357,Kansas,Kansas,dedotson,Power
hunter maldonado,2019-20,Wyoming,MWC,so,G,171,121,0.707602339,Wyoming,Wyoming,humaldonado,Non-Power
jerrick harding,2018-19,Weber State,BSky,jr,G,171,147,0.859649123,Weber St.,Weber State,jeharding,Non-Power
joseph kilgore,2017-18,Texas A&M-CC,Slnd,sr,G,171,136,0.795321637,Texas A&M Corpus Chris,Texas A&M-CC,jokilgore,Non-Power
jubrile belo,2019-20,Montana State,BSky,so,F,171,128,0.748538012,Montana St.,Montana State,jubelo,Non-Power
tevon saddler,2017-18,Nicholls,Slnd,sr,G,171,131,0.766081871,Nicholls St.,Nicholls,tesaddler,Non-Power
teyvion kirk,2017-18,Ohio,MAC,fr,G,171,122,0.713450292,Ohio,Ohio,tekirk,Non-Power
tramaine isabell,2017-18,Drexel,CAA,jr,G,171,130,0.760233918,Drexel,Drexel,trisabell,Non-Power
ahmad clark,2019-20,Albany,AE,sr,G,170,138,0.811764706,Albany,Albany,ahclark,Non-Power
austin reaves,2020-21,Oklahoma,B12,sr,G,170,147,0.864705882,Oklahoma,Oklahoma,aureaves,Power
christion thompson,2019-20,Tulane,Amer,sr,G,170,119,0.7,Tulane,Tulane,chthompson,Non-Power
demajeo wiggins,2017-18,Bowling Green,MAC,jr,F,170,119,0.7,Bowling Green,Bowling Green,dewiggins,Non-Power
fatts russell,2019-20,URI,A10,jr,G,170,139,0.817647059,Rhode Island,Rhode Island,farussell,Non-Power
holland woods,2019-20,Portland State,BSky,jr,G,170,143,0.841176471,Portland St.,Portland State,howoods,Non-Power
justin forrest,2018-19,Appalachian St,SB,so,G,170,123,0.723529412,Appalachian St.,Appalachian State,juforrest,Non-Power
justin forrest,2019-20,Appalachian St,SB,jr,G,170,125,0.735294118,Appalachian St.,Appalachian State,juforrest,Non-Power
kane williams,2018-19,Georgia State,SB,so,G,170,120,0.705882353,Georgia St.,Georgia St,kawilliams,Non-Power
malachi smith,2021-22,Chattanooga,SC,so,G,170,140,0.823529412,Chattanooga,Chattanooga,masmith,Non-Power
manny camper,2019-20,Siena,MAAC,jr,F,170,112,0.658823529,Siena,Siena,macamper,Non-Power
matt lewis,2017-18,JMU,CAA,fr,G,170,137,0.805882353,James Madison,James Madison,malewis,Non-Power
max mahoney,2019-20,Boston U,Pat,sr,F,170,101,0.594117647,Boston University,Boston University,mamahoney,Non-Power
rylan bergersen,2021-22,E Washington,BSky,sr,G,170,128,0.752941176,Eastern Washington,Eastern Washington,rybergersen,Non-Power
shai gilgeous-alexander,2017-18,Kentucky,SEC,fr,G,170,140,0.823529412,Kentucky,Kentucky,shgilgeous,Power
shamorie ponds,2018-19,St John's,BE,jr,G,170,141,0.829411765,St. John's,St. John's,shponds,Power
takal molson,2018-19,Canisius,MAAC,so,G,170,129,0.758823529,Canisius,Canisius,tamolson,Non-Power
tres tinkle,2018-19,Oregon State,P12,jr,F,170,133,0.782352941,Oregon St.,Oregon State,trtinkle,Power
aminu mohammed,2021-22,Georgetown,BE,fr,F,169,122,0.721893491,Georgetown,Georgetown,ammohammed,Power
anthony edwards,2019-20,Georgia,SEC,fr,G,169,131,0.775147929,Georgia,Georgia,anedwards,Power
ej liddell,2020-21,Ohio State,B10,so,F/C,169,126,0.74556213,Ohio St.,Ohio State,ejliddell,Power
jon davis,2017-18,Charlotte,CUSA,jr,G,169,131,0.775147929,Charlotte,Charlotte,jodavis,Non-Power
kevin marfo,2019-20,Quinnipiac,MAAC,jr,F,169,119,0.704142012,Quinnipiac,Quinnipiac,kemarfo,Non-Power
nick ward,2018-19,Michigan State,B10,jr,F/C,169,111,0.656804734,Michigan St.,Michigan State,niward,Power
ronshad shabazz,2017-18,Appalachian St,SB,jr,G,169,116,0.686390533,Appalachian St.,Appalachian State,roshabazz,Non-Power
teddy allen,2021-22,New Mexico St,WAC,jr,G,169,147,0.869822485,New Mexico St.,New Mexico State,teallen,Non-Power
zach lofton,2017-18,New Mexico St,WAC,sr,G,169,128,0.75739645,New Mexico St.,New Mexico State,zalofton,Non-Power
andrew rowsey,2017-18,Marquette,BE,sr,G,168,153,0.910714286,Marquette,Marquette,anrowsey,Power
brian parker,2018-19,Marist,MAAC,sr,G,168,100,0.595238095,Marist,Marist,brparker,Non-Power
darrell brown,2019-20,Bradley,MVC,sr,G,168,134,0.797619048,Bradley,Bradley,dabrown,Non-Power
derek st hilaire,2021-22,New Orleans,Slnd,sr,G,168,139,0.827380952,New Orleans,New Orleans,dest,Non-Power
derrick alston,2019-20,Boise State,MWC,jr,F,168,135,0.803571429,Boise St.,Boise State,dealston,Non-Power
grant basile,2021-22,Wright State,Horz,jr,F/C,168,129,0.767857143,Wright St.,Wright State,grbasile,Non-Power
isaiah bailey,2019-20,Bethune-Cookman,MEAC,sr,G,168,121,0.720238095,Bethune Cookman,Bethune-Cookman,isbailey,Non-Power
jerome robinson,2017-18,Boston College,ACC,jr,G,168,141,0.839285714,Boston College,Boston College,jerobinson,Power
john carroll,2017-18,Hartford,AE,jr,F/C,168,118,0.702380952,Hartford,Hartford,jocarroll,Non-Power
matt lewis,2018-19,JMU,CAA,so,G,168,134,0.797619048,James Madison,James Madison,malewis,Non-Power
sam merrill,2019-20,Utah State,MWC,sr,G,168,150,0.892857143,Utah St.,Utah State,samerrill,Non-Power
seth dugan,2018-19,W Michigan,MAC,sr,C,168,108,0.642857143,Western Michigan,Western Michigan,sedugan,Non-Power
tyler nelson,2017-18,Fairfield,MAAC,sr,G,168,148,0.880952381,Fairfield,Fairfield,tynelson,Non-Power
tyree appleby,2018-19,Cleveland State,Horz,so,G,168,131,0.779761905,Cleveland St.,Cleveland State,tyappleby,Non-Power
wendell carter,2017-18,Duke,ACC,fr,F/C,168,124,0.738095238,Duke,Duke,wecarter,Power
david efianayi,2017-18,Gardner-Webb,BSth,jr,G,167,134,0.80239521,Gardner Webb,Gardner-Webb,daefianayi,Non-Power
derek culver,2019-20,West Virginia,B12,so,F,167,83,0.497005988,West Virginia,West Virginia,deculver,Power
jared harper,2018-19,Auburn,SEC,jr,G,167,137,0.820359281,Auburn,Auburn,jaharper,Power
john knight,2021-22,Southern Utah,BSky,sr,G,167,108,0.646706587,Southern Utah,Southern Utah,joknight,Non-Power
josip vrankic,2019-20,Santa Clara,WCC,jr,F,167,123,0.736526946,Santa Clara,Santa Clara,jovrankic,Non-Power
juwan morgan,2017-18,Indiana,B10,jr,F/C,167,105,0.628742515,Indiana,Indiana,jumorgan,Power
khadeen carrington,2017-18,Seton Hall,BE,sr,G,167,138,0.826347305,Seton Hall,Seton Hall,khcarrington,Power
matt morgan,2017-18,Cornell,Ivy,jr,G,167,136,0.814371257,Cornell,Cornell,mamorgan,Non-Power
nico carvacho,2018-19,Colorado State,MWC,jr,F/C,167,82,0.491017964,Colorado St.,Colorado State,nicarvacho,Non-Power
pape diop,2019-20,SE Louisiana,Slnd,jr,F/C,167,107,0.640718563,Southeastern Louisiana,SE Louisiana,padiop,Non-Power
trevante anderson,2021-22,Idaho,BSky,jr,G,167,121,0.724550898,Idaho,Idaho,tranderson,Non-Power
tyreke key,2018-19,Indiana State,MVC,so,G,167,131,0.784431138,Indiana St.,Indiana State,tykey,Non-Power
yoeli childs,2018-19,BYU,WCC,jr,F/C,167,118,0.706586826,BYU,BYU,yochilds,Non-Power
brandon goodwin,2017-18,FGCU,ASun,sr,G,166,121,0.728915663,Florida Gulf Coast,Florida Gulf Coast,brgoodwin,Non-Power
ed polite,2017-18,Radford,BSth,jr,F,166,120,0.722891566,Radford,Radford,edpolite,Non-Power
isaiah pineiro,2017-18,San Diego,WCC,jr,F,166,130,0.78313253,San Diego,San Diego,ispineiro,Non-Power
jahaad proctor,2018-19,High Point,BSth,jr,G,166,128,0.771084337,High Point,High Point,japroctor,Non-Power
james thompson iv,2017-18,E Michigan,MAC,jr,F/C,166,103,0.620481928,Eastern Michigan,Eastern Michigan,jathompson,Non-Power
kahlil dukes,2017-18,Niagara,MAAC,sr,G,166,152,0.915662651,Niagara,Niagara,kadukes,Non-Power
marcus stroman,2018-19,Louisiana,SB,sr,G,166,112,0.674698795,Louisiana Lafayette,Louisiana,mastroman,Non-Power
martins igbanu,2019-20,Tulsa,Amer,sr,F,166,118,0.710843373,Tulsa,Tulsa,maigbanu,Non-Power
matt rafferty,2018-19,Furman,SC,sr,F,166,129,0.777108434,Furman,Furman,marafferty,Non-Power
nick perkins,2018-19,Buffalo,MAC,sr,F,166,111,0.668674699,Buffalo,Buffalo,niperkins,Non-Power
romone saunders,2018-19,Wagner,NEC,sr,G,166,140,0.843373494,Wagner,Wagner,rosaunders,Non-Power
tamenang choh,2021-22,Brown,Ivy,sr,F,166,126,0.759036145,Brown,Brown,tachoh,Non-Power
trayce jackson-davis,2019-20,Indiana,B10,fr,F,166,114,0.686746988,Indiana,Indiana,trjackson,Power
victor sanders,2017-18,Idaho,BSky,sr,G,166,131,0.789156627,Idaho,Idaho,visanders,Non-Power
austin reaves,2019-20,Oklahoma,B12,jr,G,165,140,0.848484848,Oklahoma,Oklahoma,aureaves,Power
averyl ugba,2017-18,Austin Peay,OVC,sr,F/C,165,111,0.672727273,Austin Peay,Austin Peay,avugba,Non-Power
chuba ohams,2021-22,Fordham,A10,sr,F/C,165,103,0.624242424,Fordham,Fordham,chohams,Non-Power
dazon ingram,2017-18,Alabama,SEC,so,G,165,112,0.678787879,Alabama,Alabama,daingram,Power
devante jones,2019-20,C. Carolina,SB,so,G,165,143,0.866666667,Coastal Carolina,Coastal Carolina,dejones,Non-Power
matt lewis,2019-20,JMU,CAA,jr,G,165,122,0.739393939,James Madison,James Madison,malewis,Non-Power
michael flowers,2018-19,W Michigan,MAC,so,G,165,130,0.787878788,Western Michigan,Western Michigan,miflowers,Non-Power
nick ward,2017-18,Michigan State,B10,so,F/C,165,102,0.618181818,Michigan St.,Michigan State,niward,Power
oscar tshiebwe,2021-22,Kentucky,SEC,jr,F,165,114,0.690909091,Kentucky,Kentucky,ostshiebwe,Power
cj massinburg,2017-18,Buffalo,MAC,jr,G,164,122,0.743902439,Buffalo,Buffalo,cjmassinburg,Non-Power
david mccormack,2021-22,Kansas,B12,sr,F,164,124,0.756097561,Kansas,Kansas,damccormack,Power
grant riller,2018-19,Charleston,CAA,jr,G,164,132,0.804878049,College of Charleston,Charleston,grriller,Non-Power
jabari smith,2021-22,Auburn,SEC,fr,F,164,131,0.798780488,Auburn,Auburn,jasmith,Power
jalen harris,2019-20,Nevada,MWC,jr,G,164,135,0.823170732,Nevada,Nevada,jaharris,Non-Power
jock landale,2017-18,Saint Mary's,WCC,sr,C,164,127,0.774390244,Saint Mary's,Saint Mary's,jolandale,Non-Power
kimbal mackenzie,2018-19,Bucknell,Pat,sr,G,164,142,0.865853659,Bucknell,Bucknell,kimackenzie,Non-Power
kofi cockburn,2019-20,Illinois,B10,fr,C,164,111,0.676829268,Illinois,Illinois,kocockburn,Power
laquincy rideau,2018-19,USF,Amer,jr,G,164,90,0.548780488,South Florida,South Florida,larideau,Non-Power
malique jacobs,2021-22,Kent State,MAC,jr,G,164,125,0.762195122,Kent St.,Kent State,majacobs,Non-Power
martins igbanu,2018-19,Tulsa,Amer,jr,F/C,164,109,0.664634146,Tulsa,Tulsa,maigbanu,Non-Power
nendah tarke,2021-22,Coppin State,MEAC,fr,G,164,104,0.634146341,Coppin St.,Coppin State,netarke,Non-Power
tristen newton,2021-22,ECU,Amer,so,G,164,143,0.87195122,East Carolina,East Carolina,trnewton,Non-Power
tyler kohl,2018-19,Cent Conn St,NEC,sr,G,164,139,0.847560976,Central Connecticut,Central Connecticut,tykohl,Non-Power
tyrique jones,2019-20,Xavier,BE,sr,F,164,97,0.591463415,Xavier,Xavier,tyjones,Power
austin wiley,2019-20,Auburn,SEC,sr,C,163,106,0.650306748,Auburn,Auburn,auwiley,Power
eli scott,2021-22,Loyola Mary,WCC,sr,F,163,124,0.760736196,Loyola Marymount,Loyola Marymount,elscott,Non-Power
john konchar,2018-19,Fort Wayne,Sum,sr,G,163,118,0.72392638,Fort Wayne,Purdue Fort Wayne,jokonchar,Non-Power
loudon love,2019-20,Wright State,Horz,jr,C,163,92,0.564417178,Wright St.,Wright State,lolove,Non-Power
ryan daly,2019-20,Saint Joe's,A10,jr,G,163,120,0.736196319,Saint Joseph's,Saint Joseph's,rydaly,Non-Power
terrell brown,2019-20,Seattle,WAC,jr,G,163,128,0.785276074,Seattle,Seattle U,tebrown,Non-Power
christian keeling,2018-19,Charleston So,BSth,jr,G,162,126,0.777777778,Charleston Southern,Charleston Southern,chkeeling,Non-Power
ej crawford,2019-20,Iona,MAAC,sr,G,162,135,0.833333333,Iona,Iona,ejcrawford,Non-Power
jaelen house,2021-22,New Mexico,MWC,jr,G,162,145,0.895061728,New Mexico,New Mexico,jahouse,Non-Power
jalen brunson,2017-18,Villanova,BE,jr,G,162,130,0.802469136,Villanova,Villanova,jabrunson,Power
kaleb wesson,2019-20,Ohio State,B10,jr,F/C,162,119,0.734567901,Ohio St.,Ohio State,kawesson,Power
kc ndefo,2021-22,St Peter's,MAAC,sr,F/C,162,87,0.537037037,Saint Peter's,Saint Peter's,kcndefo,Non-Power
koby thomas,2019-20,Coppin State,MEAC,jr,F,162,97,0.598765432,Coppin St.,Coppin State,kothomas,Non-Power
scotty pippen,2020-21,Vanderbilt,SEC,so,G,162,139,0.858024691,Vanderbilt,Vanderbilt,scpippen,Power
charles williams,2019-20,Howard,MEAC,sr,G,161,114,0.708074534,Howard,Howard,chwilliams,Non-Power
javon bess,2018-19,Saint Louis,A10,sr,G,161,130,0.807453416,Saint Louis,Saint Louis,jabess,Non-Power
josh okogie,2017-18,Georgia Tech,ACC,so,G,161,133,0.826086957,Georgia Tech,Georgia Tech,jookogie,Power
rj cole,2017-18,Howard,MEAC,fr,G,161,124,0.770186335,Howard,Howard,rjcole,Non-Power
ryan rollins,2021-22,Toledo,MAC,so,G,161,129,0.801242236,Toledo,Toledo,ryrollins,Non-Power
ryan woolridge,2017-18,North Texas,CUSA,so,G,161,81,0.50310559,North Texas,North Texas,rywoolridge,Non-Power
teshaun hightower,2019-20,Tulane,Amer,jr,G,161,122,0.757763975,Tulane,Tulane,tehightower,Non-Power
troy green,2019-20,New Orleans,Slnd,jr,G,161,130,0.807453416,New Orleans,New Orleans,trgreen,Non-Power
tyler davis,2017-18,Texas A&M,SEC,jr,C,161,100,0.621118012,Texas A&M,Texas A&M,tydavis,Power
tyus battle,2018-19,Syracuse,ACC,jr,G,161,122,0.757763975,Syracuse,Syracuse,tybattle,Power
zane martin,2017-18,Towson,CAA,so,G,161,112,0.695652174,Towson,Towson,zamartin,Non-Power
aj davis,2017-18,UCF,Amer,sr,F,160,111,0.69375,UCF,UCF,ajdavis,Non-Power
charles matthews,2017-18,Michigan,B10,so,G,160,84,0.525,Michigan,Michigan,chmatthews,Power
deandre burnett,2017-18,Ole Miss,SEC,sr,G,160,127,0.79375,Mississippi,Ole Miss,deburnett,Power
ej anosike,2018-19,Sacred Heart,NEC,so,F/C,160,120,0.75,Sacred Heart,Sacred Heart,ejanosike,Non-Power
jabari walker,2021-22,Colorado,P12,so,F/C,160,125,0.78125,Colorado,Colorado,jawalker,Power
jairus lyles,2017-18,UMBC,AE,sr,G,160,125,0.78125,UMBC,UMBC,jalyles,Non-Power
joe pridgen,2019-20,Holy Cross,Pat,fr,G,160,93,0.58125,Holy Cross,Holy Cross,jopridgen,Non-Power
kj riley,2019-20,Evansville,MVC,sr,G,160,129,0.80625,Evansville,Evansville,kjriley,Non-Power
